Year,H,doubles,triples,hR
2019,8.65,1.76,0.16,1.39
2018,8.44,1.7,0.17,1.15
2017,8.69,1.73,0.16,1.26
2016,8.71,1.7,0.18,1.16
2015,8.67,1.7,0.19,1.01
2014,8.56,1.67,0.17,0.86
2013,8.66,1.69,0.16,0.96
2012,8.65,1.7,0.19,1.02
2011,8.7,1.73,0.18,0.94
2010,8.76,1.75,0.18,0.95
2009,8.96,1.8,0.2,1.04
2008,9.06,1.86,0.18,1
2007,9.25,1.89,0.19,1.02
2006,9.28,1.88,0.2,1.11
2005,9.05,1.82,0.18,1.03
2004,9.17,1.84,0.18,1.12
2003,9.07,1.82,0.19,1.07
2002,8.92,1.79,0.19,1.04
2001,9.03,1.81,0.19,1.12
2000,9.31,1.83,0.2,1.17
1999,9.33,1.8,0.19,1.14
1998,9.15,1.8,0.18,1.04
1997,9.15,1.77,0.19,1.02
1996,9.33,1.76,0.19,1.09
1995,9.17,1.72,0.2,1.01
1994,9.29,1.79,0.22,1.03
1993,9.05,1.64,0.21,0.89
1992,8.68,1.56,0.2,0.72
1991,8.69,1.54,0.21,0.8
1990,8.75,1.55,0.21,0.79
1989,8.62,1.5,0.21,0.73
1988,8.63,1.52,0.2,0.76
1987,9,1.61,0.21,1.06
1986,8.77,1.55,0.2,0.91
1985,8.74,1.53,0.23,0.86
1984,8.88,1.48,0.23,0.77
1983,8.88,1.53,0.24,0.78
1982,8.93,1.5,0.23,0.8
1981,8.66,1.43,0.24,0.64
1980,9.06,1.51,0.26,0.73
1979,9.03,1.53,0.25,0.82
1978,8.68,1.47,0.24,0.7
1977,9.04,1.53,0.28,0.87
1976,8.66,1.35,0.25,0.58
1975,8.75,1.41,0.23,0.7
1974,8.73,1.34,0.22,0.68
1973,8.75,1.34,0.2,0.8
1972,8.19,1.25,0.2,0.68
1971,8.4,1.27,0.21,0.74
1970,8.63,1.35,0.24,0.88